Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
13/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,Gen.G,"Viktor, Neeko, K'Sante, Tahm Kench, Kai'Sa","Varus, Pantheon, Skarner, Bard, Rakan","Ornn, Nocturne, Azir, Xayah, Renata Glasc","Rumble, Xin Zhao, Annie, Sivir, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Finals",VOD
13/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,Gen.G,"Pantheon, Varus, Azir, Kai'Sa, Xayah","Neeko, Rumble, Annie, Ambessa, Bard","Camille, Wukong, Galio, Corki, Poppy","Sion, Vi, Ryze, Senna, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Finals",VOD
13/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,Gen.G,"Pantheon, Vi, Varus, Xin Zhao, Wukong","Neeko, Azir, Viktor, Senna, Rakan","Gwen, Jarvan IV, Orianna, Jhin, Alistar","Jax, Sejuani, Taliyah, Lucian, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Finals",VOD
12/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,Anyone's Legend,"Pantheon, Azir, Sion, Camille, Bard","Nocturne, Taliyah, Caitlyn, Ahri, LeBlanc","Gragas, Skarner, Hwei, Jinx, Alistar","Aatrox, Olaf, Twisted Fate, Ziggs, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
12/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,Anyone's Legend,"Twisted Fate, Poppy, Sion, Alistar, Jinx","Pantheon, Azir, Taliyah, Skarner, Cassiopeia","Jax, Lillia, Corki, Xayah, Rakan","Ambessa, Maokai, Sylas, Senna, Tahm Kench","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
12/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,Anyone's Legend,"Pantheon, Azir, Bard, Poppy, Sylas","Ambessa, Taliyah, Twisted Fate, Corki, Sivir","Ornn, Jarvan IV, Aurora, Miss Fortune, Neeko","Rumble, Xin Zhao, Viktor, Varus, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
12/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,Anyone's Legend,"Taliyah, Neeko, Jarvan IV, Rakan, Alistar","Pantheon, Varus, Azir, Nocturne, Jax","Renekton, Lee Sin, Ryze, Lucian, Braum","Yorick, Trundle, Orianna, Ezreal, Karma","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
12/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Blue,Anyone's Legend,"Taliyah, Neeko, Ryze, Poppy, Lucian","Pantheon, Azir, Varus, Rakan, Alistar","Gwen, Vi, Galio, Jhin, Nautilus","Jayce, Wukong, Annie, Kai'Sa, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
10/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,Gen.G,"Varus, Vi, Maokai, Leona, Blitzcrank","Caitlyn, Yorick, Twisted Fate, Nautilus, Ziggs","Ambessa, Lee Sin, Sylas, Draven, Pyke","Renekton, Nidalee, Aurora, Jinx, Tahm Kench","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
10/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,Gen.G,"Nautilus, Maokai, Twisted Fate, Lee Sin, Aurora","Varus, Vi, Caitlyn, Elise, Pyke","Gragas, Nocturne, Orianna, Corki, Karma","Poppy, Zed, Ahri, Kalista, Renata Glasc","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
10/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,Gen.G,"Varus, Vi, Ambessa, Nautilus, Ziggs","Poppy, Trundle, Caitlyn, Renata Glasc, Corki","Sion, Xin Zhao, Viktor, Miss Fortune, Bard","K'Sante, Pantheon, Galio, Senna, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
10/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,Gen.G,"Sion, Vi, Galio, Senna, Alistar","Pantheon, Varus, Orianna, Xin Zhao, Trundle","Ornn, Jarvan IV, Taliyah, Lucian, Braum","Rumble, Skarner, Ryze, Ezreal, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
10/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Blue,Gen.G,"Taliyah, Vi, Maokai, Lucian, Poppy","Pantheon, Varus, Skarner, Bard, Karma","Jax, Sejuani, Azir, Xayah, Rakan","Gwen, Wukong, Annie, Jhin, Neeko","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 3-4",VOD
